[Point: 29760.0, 18927.0, Point: 30773.0, 18927.0, Point: 30773.0, 19940.0, Point: 29760.0, 19940.0]
[Point: 30773.0, 18927.0, Point: 31786.0, 18927.0, Point: 31786.0, 19940.0, Point: 30773.0, 19940.0]
[Point: 31786.0, 18927.0, Point: 32799.0, 18927.0, Point: 32799.0, 19940.0, Point: 31786.0, 19940.0]
[Point: 32799.0, 18927.0, Point: 33812.0, 18927.0, Point: 33812.0, 19940.0, Point: 32799.0, 19940.0]
[Point: 33812.0, 18927.0, Point: 34825.0, 18927.0, Point: 34825.0, 19940.0, Point: 33812.0, 19940.0]
[Point: 35838.0, 18927.0, Point: 36851.0, 18927.0, Point: 36851.0, 19940.0, Point: 35838.0, 19940.0]
[Point: 37864.0, 18927.0, Point: 38877.0, 18927.0, Point: 38877.0, 19940.0, Point: 37864.0, 19940.0]
[Point: 38877.0, 18927.0, Point: 39890.0, 18927.0, Point: 39890.0, 19940.0, Point: 38877.0, 19940.0]
[Point: 39890.0, 18927.0, Point: 40903.0, 18927.0, Point: 40903.0, 19940.0, Point: 39890.0, 19940.0]
[Point: 40903.0, 18927.0, Point: 41916.0, 18927.0, Point: 41916.0, 19940.0, Point: 40903.0, 19940.0]
[Point: 41916.0, 18927.0, Point: 42929.0, 18927.0, Point: 42929.0, 19940.0, Point: 41916.0, 19940.0]
[Point: 42929.0, 18927.0, Point: 43942.0, 18927.0, Point: 43942.0, 19940.0, Point: 42929.0, 19940.0]
[Point: 43942.0, 18927.0, Point: 44955.0, 18927.0, Point: 44955.0, 19940.0, Point: 43942.0, 19940.0]
[Point: 44955.0, 18927.0, Point: 45968.0, 18927.0, Point: 45968.0, 19940.0, Point: 44955.0, 19940.0]
[Point: 45968.0, 18927.0, Point: 46981.0, 18927.0, Point: 46981.0, 19940.0, Point: 45968.0, 19940.0]
[Point: 46981.0, 18927.0, Point: 47994.0, 18927.0, Point: 47994.0, 19940.0, Point: 46981.0, 19940.0]
[Point: 29760.0, 19940.0, Point: 30773.0, 19940.0, Point: 30773.0, 20953.0, Point: 29760.0, 20953.0]
[Point: 30773.0, 19940.0, Point: 31786.0, 19940.0, Point: 31786.0, 20953.0, Point: 30773.0, 20953.0]
[Point: 31786.0, 19940.0, Point: 32799.0, 19940.0, Point: 32799.0, 20953.0, Point: 31786.0, 20953.0]
[Point: 32799.0, 19940.0, Point: 33812.0, 19940.0, Point: 33812.0, 20953.0, Point: 32799.0, 20953.0]
[Point: 33812.0, 19940.0, Point: 34825.0, 19940.0, Point: 34825.0, 20953.0, Point: 33812.0, 20953.0]
[Point: 34825.0, 19940.0, Point: 35838.0, 19940.0, Point: 35838.0, 20953.0, Point: 34825.0, 20953.0]
[Point: 35838.0, 19940.0, Point: 36851.0, 19940.0, Point: 36851.0, 20953.0, Point: 35838.0, 20953.0]
[Point: 37864.0, 19940.0, Point: 38877.0, 19940.0, Point: 38877.0, 20953.0, Point: 37864.0, 20953.0]
[Point: 38877.0, 19940.0, Point: 39890.0, 19940.0, Point: 39890.0, 20953.0, Point: 38877.0, 20953.0]
[Point: 39890.0, 19940.0, Point: 40903.0, 19940.0, Point: 40903.0, 20953.0, Point: 39890.0, 20953.0]
[Point: 40903.0, 19940.0, Point: 41916.0, 19940.0, Point: 41916.0, 20953.0, Point: 40903.0, 20953.0]
[Point: 42929.0, 19940.0, Point: 43942.0, 19940.0, Point: 43942.0, 20953.0, Point: 42929.0, 20953.0]
[Point: 43942.0, 19940.0, Point: 44955.0, 19940.0, Point: 44955.0, 20953.0, Point: 43942.0, 20953.0]
[Point: 44955.0, 19940.0, Point: 45968.0, 19940.0, Point: 45968.0, 20953.0, Point: 44955.0, 20953.0]
[Point: 45968.0, 19940.0, Point: 46981.0, 19940.0, Point: 46981.0, 20953.0, Point: 45968.0, 20953.0]
[Point: 29760.0, 20953.0, Point: 30773.0, 20953.0, Point: 30773.0, 21966.0, Point: 29760.0, 21966.0]
[Point: 30773.0, 20953.0, Point: 31786.0, 20953.0, Point: 31786.0, 21966.0, Point: 30773.0, 21966.0]
[Point: 31786.0, 20953.0, Point: 32799.0, 20953.0, Point: 32799.0, 21966.0, Point: 31786.0, 21966.0]
[Point: 32799.0, 20953.0, Point: 33812.0, 20953.0, Point: 33812.0, 21966.0, Point: 32799.0, 21966.0]
[Point: 33812.0, 20953.0, Point: 34825.0, 20953.0, Point: 34825.0, 21966.0, Point: 33812.0, 21966.0]
[Point: 34825.0, 20953.0, Point: 35838.0, 20953.0, Point: 35838.0, 21966.0, Point: 34825.0, 21966.0]
[Point: 35838.0, 20953.0, Point: 36851.0, 20953.0, Point: 36851.0, 21966.0, Point: 35838.0, 21966.0]
[Point: 37864.0, 20953.0, Point: 38877.0, 20953.0, Point: 38877.0, 21966.0, Point: 37864.0, 21966.0]
[Point: 38877.0, 20953.0, Point: 39890.0, 20953.0, Point: 39890.0, 21966.0, Point: 38877.0, 21966.0]
[Point: 39890.0, 20953.0, Point: 40903.0, 20953.0, Point: 40903.0, 21966.0, Point: 39890.0, 21966.0]
[Point: 40903.0, 20953.0, Point: 41916.0, 20953.0, Point: 41916.0, 21966.0, Point: 40903.0, 21966.0]
[Point: 41916.0, 20953.0, Point: 42929.0, 20953.0, Point: 42929.0, 21966.0, Point: 41916.0, 21966.0]
[Point: 42929.0, 20953.0, Point: 43942.0, 20953.0, Point: 43942.0, 21966.0, Point: 42929.0, 21966.0]
[Point: 43942.0, 20953.0, Point: 44955.0, 20953.0, Point: 44955.0, 21966.0, Point: 43942.0, 21966.0]
[Point: 44955.0, 20953.0, Point: 45968.0, 20953.0, Point: 45968.0, 21966.0, Point: 44955.0, 21966.0]
[Point: 30773.0, 21966.0, Point: 31786.0, 21966.0, Point: 31786.0, 22979.0, Point: 30773.0, 22979.0]
[Point: 31786.0, 21966.0, Point: 32799.0, 21966.0, Point: 32799.0, 22979.0, Point: 31786.0, 22979.0]
[Point: 32799.0, 21966.0, Point: 33812.0, 21966.0, Point: 33812.0, 22979.0, Point: 32799.0, 22979.0]
[Point: 33812.0, 21966.0, Point: 34825.0, 21966.0, Point: 34825.0, 22979.0, Point: 33812.0, 22979.0]
[Point: 34825.0, 21966.0, Point: 35838.0, 21966.0, Point: 35838.0, 22979.0, Point: 34825.0, 22979.0]
[Point: 35838.0, 21966.0, Point: 36851.0, 21966.0, Point: 36851.0, 22979.0, Point: 35838.0, 22979.0]
[Point: 36851.0, 21966.0, Point: 37864.0, 21966.0, Point: 37864.0, 22979.0, Point: 36851.0, 22979.0]
[Point: 40903.0, 21966.0, Point: 41916.0, 21966.0, Point: 41916.0, 22979.0, Point: 40903.0, 22979.0]
[Point: 41916.0, 21966.0, Point: 42929.0, 21966.0, Point: 42929.0, 22979.0, Point: 41916.0, 22979.0]
[Point: 42929.0, 21966.0, Point: 43942.0, 21966.0, Point: 43942.0, 22979.0, Point: 42929.0, 22979.0]
[Point: 43942.0, 21966.0, Point: 44955.0, 21966.0, Point: 44955.0, 22979.0, Point: 43942.0, 22979.0]
[Point: 44955.0, 21966.0, Point: 45968.0, 21966.0, Point: 45968.0, 22979.0, Point: 44955.0, 22979.0]
[Point: 30773.0, 22979.0, Point: 31786.0, 22979.0, Point: 31786.0, 23992.0, Point: 30773.0, 23992.0]
[Point: 31786.0, 22979.0, Point: 32799.0, 22979.0, Point: 32799.0, 23992.0, Point: 31786.0, 23992.0]
[Point: 32799.0, 22979.0, Point: 33812.0, 22979.0, Point: 33812.0, 23992.0, Point: 32799.0, 23992.0]
[Point: 33812.0, 22979.0, Point: 34825.0, 22979.0, Point: 34825.0, 23992.0, Point: 33812.0, 23992.0]
[Point: 34825.0, 22979.0, Point: 35838.0, 22979.0, Point: 35838.0, 23992.0, Point: 34825.0, 23992.0]
[Point: 35838.0, 22979.0, Point: 36851.0, 22979.0, Point: 36851.0, 23992.0, Point: 35838.0, 23992.0]
[Point: 36851.0, 22979.0, Point: 37864.0, 22979.0, Point: 37864.0, 23992.0, Point: 36851.0, 23992.0]
[Point: 37864.0, 22979.0, Point: 38877.0, 22979.0, Point: 38877.0, 23992.0, Point: 37864.0, 23992.0]
[Point: 38877.0, 22979.0, Point: 39890.0, 22979.0, Point: 39890.0, 23992.0, Point: 38877.0, 23992.0]
[Point: 39890.0, 22979.0, Point: 40903.0, 22979.0, Point: 40903.0, 23992.0, Point: 39890.0, 23992.0]
[Point: 40903.0, 22979.0, Point: 41916.0, 22979.0, Point: 41916.0, 23992.0, Point: 40903.0, 23992.0]
